Fecha,PIB_chowlin,IMAE,var_pib_chowlin
2009-01-01,58.06515613633947,58.06515475,
2009-02-01,58.524082678860935,58.52408183,
2009-03-01,61.15812559462823,61.15812783,
2009-04-01,62.52247214369936,62.52247358,
2009-05-01,60.596808838503414,60.59680802,
2009-06-01,60.76907107678863,60.76907046,
2009-07-01,61.38976701424358,61.38976905,
2009-08-01,59.63981813327815,59.63981812,
2009-09-01,57.921980264746125,57.92197824,
2009-10-01,62.48766314617099,62.48766211,
2009-11-01,62.71423131090121,62.71423054,
2009-12-01,64.9153657035621,64.9153675099999,
2010-01-01,60.37279564241706,60.37279092,3.9742242329619426
2010-02-01,64.60209597026443,64.6020962,10.385490917910435
2010-03-01,68.24462109518377,68.24462559,11.587169213665337
2010-04-01,67.9559739313666,67.95597553,8.690478161482606
2010-05-01,66.06493607562798,66.06493546,9.023787459992615
2010-06-01,65.7498538345507,65.74985285,8.196246329762547
2010-07-01,65.3038033401112,65.3038042099999,6.375714579531611
2010-08-01,65.09495955463761,65.09496018,9.14681095969938
2010-09-01,63.28075875893975,63.28075726,9.251718379965702
2010-10-01,67.278172173728,67.27817077,7.66632769791864
2010-11-01,68.02752467632243,68.02752415,8.472229116675223
2010-12-01,70.11659812018603,70.1166000399999,8.012328607028895
2011-01-01,63.98339933284886,63.98339504,5.980514322737518
2011-02-01,68.36121500678577,68.36121584,5.818880920290281
2011-03-01,70.60465269991457,70.60465616,3.4581943116647196
2011-04-01,68.44957877157229,68.44957822,0.7263597468328831
2011-05-01,70.84209387014373,70.8420961199999,7.231003431301408
2011-06-01,67.47433145349761,67.47432976,2.622785479168188
2011-07-01,66.82625370681406,66.8262543099999,2.3313349128744054
2011-08-01,66.85546470259449,66.8554653399999,2.7045183836072573
2011-09-01,65.25747373372901,65.2574725,3.1237219868353927
2011-10-01,67.1607162149214,67.16071339,-0.17458256520896942
2011-11-01,70.45428264844894,70.45428368,3.5673177639097053
2011-12-01,71.10591180544583,71.1059135999999,1.410955054556462
2012-01-01,67.35306909744766,67.3530663899999,5.266475054051756
2012-02-01,69.87592648339216,69.87592673,2.21574686239272
2012-03-01,71.77201959323011,71.77202206,1.6533852213353573
2012-04-01,68.8620638278054,68.86206187,0.6026115333881643
2012-05-01,72.97074353688848,72.97074639,3.004780844912136
2012-06-01,69.76771327735712,69.76771238,3.398895216086828
2012-07-01,69.92311693334287,69.92311879,4.634201462370813
2012-08-01,69.2711758066983,69.2711769,3.6133338012831917
2012-09-01,65.81858075941904,65.8185778099999,0.8598356534295526
2012-10-01,69.35167427772579,69.35167178,3.262261313284842
2012-11-01,72.02418711845462,72.0241877499999,2.2282598175602075
2012-12-01,73.07275454066627,73.0727564,2.7660748386181266
2013-01-01,69.63060346421167,69.6306019099999,3.3814856505927526
2013-02-01,70.88246864837855,70.88246856,1.4404705821333463
2013-03-01,72.36784408914276,72.36784574,0.8301626445647026
2013-04-01,73.73655445599054,73.73655477,7.078629883028431
2013-05-01,75.35112423547892,75.35112644,3.262102841787695
2013-06-01,71.31598194029044,71.31597942,2.219176450256133
2013-07-01,72.81903860346317,72.81903871,4.1415797766580775
2013-08-01,73.71744893149487,73.71745009,6.4186482660608
2013-09-01,71.64578108726975,71.64577982,8.853427498156453
2013-10-01,77.40969291069813,77.40969376,11.619068633733608
2013-11-01,75.8685557552657,75.8685548,5.337607810121403
2013-12-01,76.77279849646844,76.7727986,5.063506883051794
