Fecha,Año,Mes,IPC,pi_t,TPM_obs,TC_obs,var_tc,PIB_obs,var_pib
2009-01-01,2009,1,65.68459737493598,,8.5,35.36926666666667,4.776110602261063,59.24912146994288,-2.8638511356179635
2009-02-01,2009,2,65.88531425003127,,6.0,35.55797368421052,5.094239036253745,59.24912146994288,-2.8638511356179635
2009-03-01,2009,3,65.98776348836115,,6.0,35.666931818181816,5.159701465173772,59.24912146994288,-2.8638511356179635
2009-04-01,2009,4,66.08184952356208,,5.0,35.825561904761905,5.289389577557491,61.29611735299713,-2.163148282659037
2009-05-01,2009,5,66.15711835172281,,5.0,35.94828,5.6949436542628185,61.29611735299713,-2.163148282659037
2009-06-01,2009,6,67.58722608677681,,5.0,35.923247619047615,5.170249793009041,61.29611735299713,-2.163148282659037
2009-07-01,2009,7,67.66876731728426,,5.0,35.97990869565218,4.978559349114553,59.65052180408929,2.7152319112960583
2009-08-01,2009,8,68.24582833318325,,5.0,36.02685714285714,3.8976376925496936,59.65052180408929,2.7152319112960583
2009-09-01,2009,9,68.321097161344,,4.0,36.055933333333336,3.514582894147189,59.65052180408929,2.7152319112960583
2009-10-01,2009,10,68.4779072200122,,4.0,36.09493636363637,3.157901740539737,63.37242005354477,6.63843995063182
2009-11-01,2009,11,69.20968749379713,,4.0,36.093085,2.554408815117859,63.37242005354477,6.63843995063182
2009-12-01,2009,12,69.2765931188289,,4.0,36.08954090909091,2.361573607143308,63.37242005354477,6.63843995063182
2010-01-01,2010,1,70.18609145910447,6.853195823784075,4.0,36.11004117647059,2.094401664544709,64.40650423595508,8.704572554090191
2010-02-01,2010,2,70.28435909586989,6.676821528306709,4.0,36.192040000000006,1.7831902386244105,64.40650423595508,8.704572554090191
2010-03-01,2010,3,70.88860052193803,7.426887614460953,4.0,36.297265217391306,1.7672767661169209,64.40650423595508,8.704572554090191
2010-04-01,2010,4,71.14158741658939,7.656774030247448,4.0,36.42162380952381,1.6637894092113914,66.59025461384843,8.636986304308621
2010-05-01,2010,5,71.38412030732954,7.900891220529727,4.0,36.69822857142857,2.0861876324224093,66.59025461384843,8.636986304308621
2010-06-01,2010,6,71.26285386195946,5.438346841551711,4.0,36.72687619047619,2.237071046445327,66.59025461384843,8.636986304308621
2010-07-01,2010,7,71.50747755348185,5.672794685617211,4.0,36.79623636363636,2.268843078200544,64.55984055122951,8.230135460112066
2010-08-01,2010,8,71.66428761215005,5.009037713305364,4.0,36.89311428571428,2.404476025822011,64.55984055122951,8.230135460112066
2010-09-01,2010,9,72.21625901866211,5.701257765400758,4.0,36.984676190476186,2.575839178968753,64.55984055122951,8.230135460112066
2010-10-01,2010,10,72.70341560092467,6.170615534929191,4.75,37.205776190476186,3.0775503124558234,68.47409832341215,8.050313157611555
2010-11-01,2010,11,72.92922208540688,5.374297625521152,5.0,37.21566818181818,3.110244474303548,68.47409832341215,8.050313157611555
2010-12-01,2010,12,73.59827833572453,6.238305064284444,5.0,37.30974347826087,3.3810420926208007,68.47409832341215,8.050313157611555
2011-01-01,2011,1,74.51362012338595,6.165792359021749,5.0,37.446466666666666,3.7009802444282425,67.64975567984972,5.0355961441609765
2011-02-01,2011,2,75.40953196556671,7.2920532187053855,5.0,37.627645,3.966631889222039,67.64975567984972,5.0355961441609765
2011-03-01,2011,3,76.2809355810617,7.606773189795013,6.0,37.76302608695652,4.038212963942311,67.64975567984972,5.0355961441609765
2011-04-01,2011,4,76.947,8.160364133309827,6.25,37.835295,3.8814062708168784,68.92200136507121,3.5016336320448147
2011-05-01,2011,5,77.11627604017217,8.030015230507882,6.75,37.89106666666667,3.2503969310572645,68.92200136507121,3.5016336320448147
2011-06-01,2011,6,77.90377761836442,9.3189135664828,6.75,38.03468095238095,3.5608929959686897,68.92200136507121,3.5016336320448147
2011-07-01,2011,7,78.56616212338594,9.871253764509811,6.75,38.04444761904762,3.3922253435810346,66.31306404771252,2.7156564847643665
2011-08-01,2011,8,78.95623299856527,10.175145291165832,6.75,38.06196363636364,3.168204618339732,66.31306404771252,2.7156564847643665
2011-09-01,2011,9,79.12550903873743,9.567443833236824,6.75,38.14525,3.1379855904285936,66.31306404771252,2.7156564847643665
2011-10-01,2011,10,79.14758852223815,8.86364535702986,6.75,38.30012857142857,2.9413507605642097,69.57363688960538,1.6057729756439727
2011-11-01,2011,11,79.22118680057388,8.6274946245807,6.75,38.44164545454545,3.294250332246418,69.57363688960538,1.6057729756439727
2011-12-01,2011,12,79.30950473457675,7.759999999999989,6.75,38.54733636363636,3.317076908064509,69.57363688960538,1.6057729756439727
2012-01-01,2012,1,79.65541664275464,6.900478745837968,6.75,38.858355,3.770418036770717,69.66700505802329,2.981901941701224
2012-02-01,2012,2,79.9350901004304,6.00130781468069,6.75,38.942515,3.494425441719784,69.66700505802329,2.981901941701224
