fecha,lambda,se,lo,hi,n
2013-05-01,0.21007753773959503,0.4473492164642645,-0.666710815042576,1.086865890521766,36
2013-06-01,0.27313363862146334,0.47749846730044093,-0.6627461599604776,1.2090134372034043,36
2013-07-01,0.29499809105745234,0.5351213731346744,-0.7538205276441292,1.343816709759034,36
2013-08-01,0.3294511671543226,0.5478803737959994,-0.7443746333221786,1.4032769676308237,36
2013-09-01,0.32757029952905203,0.5474389681683823,-0.7453903618147465,1.4005309608728505,36
2013-10-01,0.3140489405701335,0.5450307773494901,-0.7541917535007363,1.3822896346410032,36
2013-11-01,0.3330322786626897,0.5332285286609566,-0.7120764330420691,1.3781409903674486,36
2013-12-01,0.36882105516970254,0.5666816728758499,-0.7418546143658716,1.4794967247052768,36
2014-01-01,0.3762161533936752,0.5854729605163516,-0.771289763140415,1.5237220699277654,36
2014-02-01,0.3339105289798685,0.5750599339022348,-0.7931862304204957,1.4610072883802327,36
2014-03-01,0.1272523354750379,0.5076181496519198,-0.8676609557415882,1.122165626691664,36
2014-04-01,0.1779047528704124,0.5499104754129054,-0.899899973660181,1.255709479401006,36
2014-05-01,0.19534374335150206,0.5689663027565329,-0.9198097184682149,1.310497205171219,36
2014-06-01,0.1702450653987374,0.5528855183643174,-0.9133906381690834,1.253880768966558,36
2014-07-01,-0.10252437074031817,0.3791163141449252,-0.8455786924159446,0.6405299509353083,36
2014-08-01,-0.24364447766142427,0.3328586240562375,-0.8960353927552074,0.40874643743235883,36
2014-09-01,-0.33543200559708314,0.3323759865726584,-0.9868769686054621,0.3160129574112959,36
2014-10-01,-0.09661951941592539,0.38846247677534,-0.857991983240819,0.6647529444089683,36
2014-11-01,-0.7153474466987138,0.40895507215115856,-1.5168846594099636,0.08618976601253625,36
2014-12-01,0.48270071905,0.3943357896074076,-0.29018322639568306,1.2555846644956832,36
2015-01-01,-0.3200880965144568,0.5776107429199804,-1.4521843497210423,0.8120081566921287,36
2015-02-01,0.007587339935068549,0.5547794019148374,-1.0797603071826842,1.0949349870528213,36
2015-03-01,-0.06295783229192686,0.5888795708738102,-1.2171405824359969,1.0912249178521432,36
2015-04-01,0.4059769405777576,0.4895098332143651,-0.5534447026006067,1.365398583756122,36
2015-05-01,0.30528042973272207,0.5533760696910426,-0.7793167367680485,1.3898775962334926,36
2015-06-01,0.7098968761002994,0.7236196591801692,-0.708371594397981,2.1281653465985797,36
2015-07-01,0.1579549362270133,0.5892944542844349,-0.9970409704596644,1.3129508429136911,36
2015-08-01,-0.24987679943954058,0.44011107010910444,-1.112478646050768,0.6127250471716869,36
2015-09-01,-0.39770297008829836,0.49096141966295653,-1.3599696704263482,0.5645637302497516,36
2015-10-01,-0.35636466595076366,0.4191919425891592,-1.1779657760348976,0.4652364441333704,36
2015-11-01,-0.212027013663565,0.3567172744451607,-0.9111800242393702,0.4871259969122401,36
2015-12-01,0.002229021574818413,0.3176165007700901,-0.6202878808301966,0.6247459239798334,36
2016-01-01,-0.01654015970611078,0.31588330964491634,-0.6356600699274607,0.6025797505152392,36
2016-02-01,-0.1219018497471478,0.33972080543547567,-0.7877423931996191,0.5439386937053236,36
2016-03-01,-0.09845581371862488,0.3372270676450281,-0.7594087209149325,0.5624970934776827,36
2016-04-01,-0.09698910223954982,0.33720122497805316,-0.7578913587393221,0.5639131542602225,36
2016-05-01,-0.0583907485120021,0.3576593685381029,-0.7593902295800219,0.6426087325560177,36
2016-06-01,0.0198230500909945,0.3231727795571488,-0.6135839586247194,0.6532300588067084,36
2016-07-01,0.05466892861480044,0.32167108528529675,-0.5757948134122933,0.6851326706418942,36
2016-08-01,-0.17725715943279807,0.30296138216207,-0.7710505571769309,0.4165362383113348,36
2016-09-01,-0.06389208312899164,0.289005563820291,-0.6303325795484541,0.5025484132904708,36
2016-10-01,-0.14918592712252784,0.33440777033582914,-0.8046131131310948,0.5062412588860391,36
2016-11-01,0.037204444972248896,0.30248701058746613,-0.5556592015703707,0.6300680915148684,36
2016-12-01,0.052845262143650755,0.2939863098736798,-0.5233573171565937,0.6290478414438951,36
2017-01-01,0.0725114448864363,0.29446644237192804,-0.5046321768181821,0.6496550665910545,36
2017-02-01,0.42889222324008064,0.4467824630129124,-0.4467853131893265,1.3045697596694878,36
2017-03-01,0.570324274856152,0.5355807252692198,-0.47939465748536014,1.6200432071976643,36
2017-04-01,0.4013966062241231,0.4348465757689658,-0.45088702108361767,1.2536802335318638,36
2017-05-01,0.7112998932357817,0.5336209976819819,-0.3345780436152346,1.757177830086798,36
2017-06-01,0.8047834826152832,0.5354162335862306,-0.2446130519518136,1.85418001718238,36
2017-07-01,0.6797202676945329,0.5068145376432462,-0.3136179729275492,1.673058508316615,36
2017-08-01,0.7429065842472862,0.504260386989955,-0.24542561308325572,1.731238781577828,36
2017-09-01,0.5274643671067976,0.49819616681567175,-0.44898217708782784,1.503910911301423,36
2017-10-01,0.7898814932238147,0.4559128895354442,-0.10369135035324395,1.6834543368008734,36
2017-11-01,0.765598417806832,0.48165881232491586,-0.17843550718634016,1.7096323428000042,36
2017-12-01,0.8912082885977434,0.49774121952871464,-0.0843465752995819,1.8667631524950687,36
2018-01-01,0.9132382287495509,0.4973349519943781,-0.061520365412386924,1.8879968229114885,36
2018-02-01,0.9825325518055326,0.5415415516394092,-0.0788693855396474,2.0439344891507125,36
2018-03-01,1.0057322540929459,0.5662863504611633,-0.10416859774756126,2.115633105933453,36
2018-04-01,0.539231117925031,0.37427481498433834,-0.19433403976466435,1.2727962756147262,36
2018-05-01,0.5479038858125973,0.41880067725457587,-0.27293035830735446,1.3687381299325492,36
2018-06-01,0.574042282336978,0.376593351686705,-0.16406712378619026,1.3121516884601463,36
2018-07-01,0.9589807950436992,0.30555967586957894,0.3600948352115918,1.5578667548758065,36
2018-08-01,0.8856281570953952,0.2883273172973652,0.32051699943350687,1.4507393147572836,36
2018-09-01,0.526573272161426,0.3567054596824143,-0.1725565819049103,1.2257031262277622,36
2018-10-01,0.8799943018576684,0.22466384893168964,0.43966124932340916,1.3203273543919276,36
2018-11-01,0.7554838057201284,0.31543057258593293,0.13725124382885256,1.3737163676114044,36
2018-12-01,1.1896845639427625,0.3270409235411571,0.548696132331377,1.8306729955541479,36
2019-01-01,1.2528972686969564,0.36748907375405615,0.5326319194270227,1.97316261796689,36
2019-02-01,1.5204475670504942,0.5046696014188712,0.5313133241773226,2.5095818099236658,36
2019-03-01,1.0015800357900715,0.3397247276721206,0.3357318048950373,1.6674282666851057,36
2019-04-01,1.0942877557366864,0.3112984429790914,0.48415401905427147,1.7044214924191012,36
2019-05-01,1.2379823007498745,0.33492615357045163,0.581539102271258,1.894425499228491,36
2019-06-01,1.5098674800804743,0.38121907361967533,0.7626918255661873,2.2570431345947615,36
2019-07-01,1.71625596729353,0.4379397555488517,0.8579098190195055,2.5746021155675547,36
2019-08-01,1.4580685358836538,0.4204022986203566,0.634095171569902,2.2820419001974055,36
2019-09-01,1.4862875346808293,0.4288551807395103,0.6457468258479737,2.3268282435136847,36
2019-10-01,1.3683134512511594,0.4296038316909577,0.5263054135164752,2.210321488985844,36
2019-11-01,1.3132025825312432,0.4076399481324596,0.5142429655318468,2.1121621995306397,36
2019-12-01,1.1751811228315372,0.3596950012352452,0.4701918749913663,1.8801703706717081,36
2020-01-01,1.2017099905140716,0.3655896749339194,0.4851673945238838,1.9182525865042592,36
2020-02-01,1.1780789278562278,0.370323230591494,0.45225873325837795,1.9038991224540776,36
2020-03-01,1.2071115063037914,0.3558768813504963,0.5096056359263846,1.9046173766811982,36
2020-04-01,1.3294602376101805,0.3599989745197539,0.6238752130801103,2.0350452621402506,36
2020-05-01,1.4529819516539928,0.44158638558790786,0.5874885398384763,2.3184753634695094,36
2020-06-01,1.4544376021011916,0.4431611025169925,0.5858578018188236,2.3230174023835595,36
2020-07-01,1.5033313237071622,0.44425741123696594,0.632602797817709,2.374059849596615,36
2020-08-01,1.6717114797893657,0.4142208099374965,0.8598536106648617,2.48356934891387,36
2020-09-01,1.5503120776395245,0.3626434875641102,0.8395439027858695,2.2610802524931795,36
2020-10-01,1.6829442171547386,0.37144216427033483,0.9549309528452719,2.410957481464205,36
2020-11-01,1.7206920476261853,0.3780790105096422,0.979670803716746,2.4617132915356246,36
2020-12-01,1.863679472390697,0.4007189418689338,1.0782847784045873,2.649074166376807,36
2021-01-01,1.7739149216521064,0.37531878233063665,1.0383036255626306,2.5095262177415822,36
2021-02-01,1.7138402501645913,0.3669850216158453,0.9945628249318813,2.4331176753973014,36
2021-03-01,2.3016207227865086,0.6256813396715637,1.0753078312314717,3.5279336143415456,36
2021-04-01,2.1821730328298505,0.5543745014222358,1.0956189760949195,3.2687270895647815,36
2021-05-01,2.2561071751548996,0.6389039881133641,1.003878368873699,3.5083359814361,36
2021-06-01,2.247896694885373,0.6292251853762771,1.0146379933823308,3.4811553963884156,36
2021-07-01,2.175929094586853,0.6165656744781226,0.9674825785060859,3.38437561066762,36
2021-08-01,2.215620829806956,0.640424569096588,0.9604117395630603,3.4708299200508517,36
2021-09-01,2.3977811435954006,0.6939115659698668,1.0377394658386718,3.7578228213521294,36
2021-10-01,2.4478824211573498,0.535147136601475,1.3990133069887223,3.496751535325977,36
2021-11-01,1.7732393530993638,0.6081338864216873,0.5813188379344849,2.9651598682642426,36
2021-12-01,1.0067049686616831,0.7940930249004515,-0.5496887605176701,2.5630986978410366,36
2022-01-01,0.6665381520707669,0.870877112157314,-1.0403496227178177,2.3734259268593516,36
2022-02-01,0.705569955569477,0.7789866826076972,-0.8212158867779435,2.2323557979168975,36
2022-03-01,1.2181314209746885,0.7712164892491975,-0.29342512223716044,2.7296879641865375,36
2022-04-01,1.2375490389187773,0.78381472258019,-0.2986995878906491,2.7737976657282037,36
2022-05-01,1.0965811035019248,0.7380094201017574,-0.34989078014881025,2.54305298715266,36
2022-06-01,0.7513232212131113,0.6068438659459653,-0.4380689002800331,1.9407153427062558,36
2022-07-01,0.6742983040663029,0.6303578202522412,-0.5611803210012629,1.9097769291338687,36
2022-08-01,0.7097149501837796,0.6274396122565703,-0.5200440923128744,1.9394739926804336,36
2022-09-01,0.6873581974482285,0.6118464851580205,-0.5118388775289126,1.8865552724253694,36
2022-10-01,0.6176479651451714,0.556677485907972,-0.473419858238757,1.7087157885290998,36
2022-11-01,0.4408200794039101,0.5901486694498604,-0.7158500582420497,1.59749021704987,36
2022-12-01,0.707193558355627,0.6055637902595115,-0.47968966089458265,1.8940767776058367,36
2023-01-01,0.7055991999548777,0.5630301363750768,-0.39791958955094786,1.8091179894607032,36
2023-02-01,0.6452676462325962,0.5629167139730297,-0.4580288394501769,1.7485641319153693,36
2023-03-01,0.5399561080285114,0.4702951691495605,-0.3818054856077999,1.4617177016648226,36
2023-04-01,0.6225389387159673,0.4702872425156957,-0.2992071190034503,1.544284996435385,36
2023-05-01,0.488512669649241,0.5015421302751387,-0.4944918424195267,1.4715171817180086,36
2023-06-01,0.49711396111069217,0.5158294424825594,-0.5138931683204996,1.5081210905418838,36
2023-07-01,0.7847407741524679,0.7109561978377668,-0.6087077681950883,2.178189316500024,36
2023-08-01,1.0166739981681656,0.7118373036218693,-0.37850147978280146,2.4118494761191327,36
2023-09-01,0.8120829625921456,0.6450969559994114,-0.45228383770312075,2.076449762887412,36
2023-10-01,1.0162061645066938,0.6597490498689135,-0.2768782120708968,2.3092905410842843,36
2023-11-01,1.042217018475186,0.6572092905708742,-0.24588952134884678,2.330323558299219,36
2023-12-01,1.11364107045637,0.6518414448911496,-0.16394468516083371,2.3912268260735736,36
2024-01-01,1.108105750438628,0.6506017737807409,-0.16705029444949981,2.3832617953267556,36
2024-02-01,1.1102865135498778,0.6527925688406583,-0.1691634107531963,2.389736437852952,36
2024-03-01,0.989802345577689,0.5725044303972406,-0.13228571899052088,2.111890410145899,36
2024-04-01,0.9364059760187418,0.5809633296325347,-0.20226122639949784,2.0750731784369814,36
2024-05-01,0.9258715090666888,0.5734174945725735,-0.19800612840074716,2.0497491465341247,36
2024-06-01,0.9446325735710335,0.5865109435552639,-0.2049077523358882,2.094172899477955,36
2024-07-01,0.8854617933147098,0.6115537334912485,-0.313161498939144,2.0840850855685638,36
2024-08-01,0.8347926997794445,0.6379648024499486,-0.41559533642666524,2.085180735985554,36
2024-09-01,0.7651910905780299,0.678275935852507,-0.5642053152730837,2.0945874964291438,36
2024-10-01,0.3096019805600808,1.1474344856153995,-1.939328285865345,2.5585322469855067,36
2024-11-01,0.6758820641917767,1.0509679685068853,-1.3839773029869444,2.7357414313704975,36
2024-12-01,1.3362372373720262,1.0718715650644834,-0.7645924262069426,3.437066900950995,36
2025-01-01,1.7266795588956996,1.2942292686661445,-0.8099631954275572,4.263322313218956,36
2025-02-01,1.3269999519292086,1.2695824849568578,-1.1613359939890975,3.8153358978475147,36
2025-03-01,-0.01733669657615844,1.688833504120729,-3.327389540537364,3.2927161473850473,36
2025-04-01,-1.4518648699570074,1.3091763542111532,-4.01780337362232,1.1140736337083057,36
2025-05-01,-1.6665145301620303,1.2708998895084715,-4.157432541554568,0.8244034812305079,36
2025-06-01,-0.6167643682086417,1.6035273369763037,-3.75962019690762,2.5260914604903366,36
2025-07-01,-1.7490479427036822,1.700517326917942,-5.082000658549173,1.5839047731418092,36
2025-08-01,-1.7138947429494165,1.7354240361702085,-5.115263351748161,1.687473865849328,36
2025-09-01,-1.377552750390631,1.665552456856707,-4.641975580191979,1.8868700794107172,36
2025-10-01,-0.7515956694153229,1.6650499554896059,-4.01503361463497,2.511842275804325,36
2025-11-01,-0.6520766284150725,1.7591129788847482,-4.099874711766148,2.7957214549360025,36
2025-12-01,1.0254348322953035,1.3077328099952334,-1.5376743766967156,3.5885440412873226,36
2026-01-01,2.669949713939382,0.8753278142476453,0.9543387233478311,4.385560704530933,36
2026-02-01,2.2728826694679216,0.766814293841393,0.7699542707082772,3.775811068227566,36
2026-03-01,2.491821111114944,0.6671172974331967,1.1842952346821836,3.799346987547705,36
