Unnamed: 0,Banco Central de la República Dominicana,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,Departamento de Cuentas Nacionales y Estadísticas Económicas,,,,,,,,,,,,,,
Indicador Mensual de Actividad Económica (IMAE),,,,,,,,,,,,,,,
Índices de volumen encadenados (promedio 2018 = 100),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Período,,Serie Original,,,,Serie Desestacionalizada,,,,,Serie Tendencia-Ciclo,,,,
,,Índice,Variación porcentual (%),,,Índice,Variación porcentual (%),,,,Índice,,Variación porcentual (%),,
,,,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses,,Respecto al período anterior,Interanual,Acumulada,Promedio 12 meses
,Enero,54.00396026,,,,55.2786703804708,,,,,55.6942155560237,,,,
,Febrero,55.85555807,,,,56.1928166014634,,,,,55.9473349616908,,,,
,Marzo,58.68052803,,,,56.728432594768,,,,,56.3575386346473,,,,
,Abril,55.85902183,,,,53.1312449745941,,,,,56.8517938566429,,,,
,Mayo,60.61766792,,,,59.4499285779839,,,,,57.4838410793121,,,,
,Junio,57.44812815,,,,57.4900247982108,,,,,58.2724515467783,,,,
,Julio,58.87031841,,,,58.7604123709623,,,,,59.1199537257536,,,,
,Agosto,59.52835115,,,,60.9888226534768,,,,,59.8855620111179,,,,
,Septiembre,57.21236859,,,,61.2171702306031,,,,,60.4811033271485,,,,
,Octubre,60.44619547,,,,60.2430625027281,,,,,60.8118952969837,,,,
,Noviembre,60.79128351,,,,61.0716907945652,,,,,60.885022708463,,,,
,Diciembre,61.23713126,,,,59.9954337661911,,,,,60.8309973458219,,,,
Promedio 2007,,58.3792093875,,,,58.37897585383481,,,,,58.551809170865305,,,,
,Enero,60.2167524,11.504326923597347,11.504326923597347,,61.5358632488252,2.5675778737384007,11.319362107097604,11.319362107097604,,60.7935775598801,-0.06151433902861925,9.155999331253483,9.155999331253483,
,Febrero,60.65724247,8.596609837793352,10.025964711509388,,60.925850275286,-0.9913129374208438,8.422844698087872,9.85922664148022,,60.8937653570916,0.16479996939284547,8.841226125941134,8.99825589368109,
,Marzo,62.11386957,5.8509043038002915,8.572335413471748,,60.0508076208143,-1.4362420065012316,5.856631100279543,8.509279673999188,,61.0867586111799,0.3169343412360064,8.39145940561923,8.794697906004728,
