Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
Cuadro 1,,,
"REPÚBLICA DOMINICANA: índice de precios al consumidor, según año y mes, de enero del 2010 marzo del 2026",,,
Diciembre 2010 = 100,,,
,,,
Año/Mes,Índice general Base 2010,Variación porcentual mensual ,
,,,
,,,
Octubre,129.6056,0.0928289984816866,
Noviembre,129.8098,0.157554920466385,
Diciembre,130.722,0.702720441754012,
2025,,,
Enero,131.2004,0.365967472957873,
Febrero,131.6244,0.323169746433716,
Marzo,132.0373,0.313695636979139,
Abril,132.0704,0.0250686737762962,
Mayo,132.1823,0.0847275392517943,
Junio,132.4552,0.206457294206563,
Julio,132.95,0.38,
Agosto,133.9,0.71,
Septiembre,134.3483,0.33742480199257,
Octubre,135.0898,0.551923619428019,
Noviembre,136.0551,0.714561721166218,
Diciembre,137.1955,0.838189821623736,
2026,,,
Enero,137.7394,0.396441574249873,
Febrero,137.7744,0.0254103038056064,
Marzo,138.15,0.27,
,,,
Fuente: Banco Central de la República Dominicana (BCRD),,, 
