Año,Mes,Fecha,IPC,Var_Mensual,pi_t
2010,1,2010-01-01,95.3637680747706,1.31285084807147,
2010,2,2010-02-01,95.4972870088918,0.140010128392265,
2010,3,2010-03-01,96.3182864123178,0.859709662065677,
2010,4,2010-04-01,96.6620266469703,0.356879516295527,
2010,5,2010-05-01,96.9915627396949,0.340915770293315,
2010,6,2010-06-01,96.8267946933326,-0.169878741725737,
2010,7,2010-07-01,97.1591716144428,0.343269569299376,
2010,8,2010-08-01,97.3722337433596,0.219291833572122,
2010,9,2010-09-01,98.1222124371467,0.770218228498076,
2010,10,2010-10-01,98.7841254509815,0.674580196873209,
2010,11,2010-11-01,99.0909349166217,0.310585799327057,
2010,12,2010-12-01,100.0,0.91740489091483,
2011,1,2011-01-01,101.2437,1.2437,6.165792359021727
2011,2,2011-02-01,102.461,1.2,7.292053218705363
2011,3,2011-03-01,103.645,1.16,7.606773189795035
2011,4,2011-04-01,104.55,0.87,8.160364133309761
2011,5,2011-05-01,104.78,0.22,8.030015230507882
2011,6,2011-06-01,105.85,1.02,9.318913566482777
2011,7,2011-07-01,106.75,0.853118180014545,9.871253764509792
2011,8,2011-08-01,107.28,0.5,10.175145291165787
2011,9,2011-09-01,107.51,0.21,9.5674438332368
2011,10,2011-10-01,107.54,0.03,8.863645357029881
2011,11,2011-11-01,107.64,0.09,8.6274946245807
2011,12,2011-12-01,107.76,0.11,7.760000000000011
2013,1,2013-01-01,113.38,1.26,11.98721500695845
2013,2,2013-02-01,113.75,0.326336214499912,11.017850694410548
2013,3,2013-03-01,114.18,0.378021978021992,10.164503835206729
2013,4,2013-04-01,114.11,-0.06,9.143950263032053
2013,5,2013-05-01,113.9,-0.184032950661639,8.703951135712916
2013,6,2013-06-01,113.94,0.04,7.642890883325459
2013,7,2013-07-01,114.65,0.623134983324558,7.400468384074954
2013,8,2013-08-01,115.41,0.662887047535965,7.578299776286346
2013,9,2013-09-01,115.97,0.485226583484977,7.869035438563854
2013,10,2013-10-01,115.81,-0.13796671552988,7.6901618002603644
2013,11,2013-11-01,115.88,0.06,7.655146785581568
2013,12,2013-12-01,116.31,0.371073524335519,7.934298440979948
2014,1,2014-01-01,116.58,0.232138251225167,2.822367260539771
2014,2,2014-02-01,116.98,0.343112026076509,2.83956043956044
2014,3,2014-03-01,117.59,0.52,2.9865125240847723
2014,4,2014-04-01,118.09,0.425206225019137,3.487862588730173
2014,5,2014-05-01,118.11,0.0169362350749491,3.6962247585601293
2014,6,2014-06-01,118.13,0.016933367200056,3.6773740565209767
2014,7,2014-07-01,118.56,0.3640057563701,3.41037941561273
2014,8,2014-08-01,119.02,0.387989203778671,3.1279785113941694
2014,9,2014-09-01,119.25,0.193244832801209,2.828317668362512
2014,10,2014-10-01,119.15,-0.083857442348001,2.884034193938345
2014,11,2014-11-01,118.98,-0.14267729752413,2.6751812219537596
2014,12,2014-12-01,118.15,-0.7,1.5819791935345329
2015,1,2015-01-01,117.93,-0.186203977994071,1.1580030880082415
2015,2,2015-02-01,118.17,0.203510557110143,1.0172679090442838
2015,3,2015-03-01,118.34,0.143860539900142,0.6378093375287053
2015,4,2015-04-01,118.04,-0.253506844684803,-0.042340587687350606
2015,5,2015-05-01,118.38,0.288037953236175,0.2286004572009004
