Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
Banco Central de República Dominicana,,,,,,,,,,,,,,,,
Departamento de Programación Monetaria y Estudios Económicos,,,,,,,,,,,,,,,,
División de Encuestas Macroeconómicas,,,,,,,,,,,,,,,,
Encuesta de Expectativas Macroeconómicas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Promedio de las expectativas,,,,,,,,,,,,,,,,
Año,Mes,Inflación,,,,Variación porcentual interanual implícita del tipo de cambio,,,,Crecimiento interanual del PIB real,,,Tasa de política monetaria (TPM),,,
,,Año actual,En 12 meses,Año siguiente,En 24 meses,Año actual,En 12 meses,Año siguiente,En 24 meses,Trimestre actual,Año actual,Año siguiente,Mes actual,Trimestre actual,Año actual,En 12 meses
2009,6,4.61214285714286,5.54428571428571,6.58428571428571,,6.3779114358374,7.02098270862983,5.55500480118971,,0.799166666666667,1.70461538461538,3.62083333333333,,,,
2009,7,5.63733333333333,6.61769230769231,7.26466666666667,,6.23581049260619,7.57239259431506,6.35476391610075,,1.34857142857143,1.33066666666667,3.54333333333333,,,,
2009,8,5.66133333333333,6.82,7.08933333333333,,5.00518037110295,6.86667571332626,6.86222453135946,,1.24857142857143,1.56066666666667,3.5,,,,
2009,9,5.93357142857143,6.33461538461538,7.10285714285714,,5.97222782868445,7.09722754286916,5.7539474466432,,1.59833333333333,1.90428571428571,3.70714285714286,,,,
2009,10,6.01076923076923,6.26666666666667,7.00923076923077,,4.82535266372508,7.20498012332405,6.01671963771201,,2.249,2.18666666666667,4.16083333333333,4,3.875,4.65083333333333,
2009,11,5.51166666666667,6.32636363636364,6.955,,2.75972496938872,6.53990412215379,6.12654950806791,,2.1275,1.91363636363636,3.83909090909091,4,3.91666666666667,5.505,
2009,12,6.10636363636364,6.876,7.22181818181818,,2.45318400164402,5.87884950718314,5.87829702099529,,1.73777777777778,2.34,3.93,4,3.9,4.82888888888889,
2010,1,7.21818181818182,7.01363636363636,6.82545454545455,,5.84367764018928,5.85613520687234,4.42627366260576,,3.838,4.22818181818182,4.66727272727273,4.1,4.3,5.96333333333333,
